계약년월,번호,계약일,시군구일련번호,번지,지목,용도지역,도로조건,계약면적,거래금액,지분구분,해제사유발생일,거래구분,거래유형,시군구명,법정동코드
201910,46761,15,3577,산3*,임야,보전녹지지역,-,17.0000,1200.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46762,15,3577,산2*,임야,보전녹지지역,-,1650.0000,26428.0000,,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46763,16,3577,산3*,임야,보전녹지지역,-,99.0000,7200.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46764,17,3577,5**,답,보전녹지지역,-,25.0000,3000.0000,,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46765,17,3577,5**,답,보전녹지지역,8m미만,31.0000,1800.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46766,17,3577,5**,답,보전녹지지역,-,842.0000,74200.0000,,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46767,17,3577,5**,답,보전녹지지역,-,100.0000,5500.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46768,17,3577,산3*,임야,보전녹지지역,-,132.0000,9600.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46769,17,3577,산3*,임야,보전녹지지역,-,66.0000,4800.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46770,17,3577,산3*,임야,보전녹지지역,-,33.0000,2400.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46771,18,3577,산3*,임야,보전녹지지역,-,33.0000,2400.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46772,18,3577,산3*,임야,보전녹지지역,-,36.0000,2640.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46773,21,3577,산3*,임야,보전녹지지역,-,17.0000,1200.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46774,22,3577,산3*,임야,보전녹지지역,-,17.0000,1200.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46775,23,3577,산3*,임야,보전녹지지역,-,19.0000,1134.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201910,46776,23,3577,산6*,임야,보전녹지지역,-,49.0000,2250.0000,지분,-,-,,경기도 성남시분당구 대장동,4113511600
201905,51245,07,3927,2**,전,보전녹지지역,-,462.0000,19600.0000,,-,-,,경기도 성남시분당구 동원동,4113511300
201905,51246,07,3927,2**,전,보전녹지지역,-,1190.0000,50400.0000,,-,-,,경기도 성남시분당구 동원동,4113511300
201907,46523,09,2087,4*,전,보전녹지지역,-,228.0000,37000.0000,,-,-,,경기도 성남시분당구 이매동,4113510600
201907,46524,09,2087,4*,전,보전녹지지역,-,900.0000,144500.0000,,-,-,,경기도 성남시분당구 이매동,4113510600
201907,46525,09,2087,4*,전,보전녹지지역,-,163.0000,26403.0000,,-,-,,경기도 성남시분당구 이매동,4113510600
201907,46526,09,2087,4*,전,보전녹지지역,8m미만,695.0000,111500.0000,,-,-,,경기도 성남시분당구 이매동,4113510600
201907,46527,09,2087,4*,전,보전녹지지역,-,65.0000,10597.0000,,-,-,,경기도 성남시분당구 이매동,4113510600
201907,46528,09,2087,4*,임야,보전녹지지역,8m미만,73.0000,11000.0000,,-,-,,경기도 성남시분당구 이매동,4113510600
201907,46529,19,2087,산2*,임야,보전녹지지역,8m미만,215.0000,15000.0000,지분,-,-,,경기도 성남시분당구 이매동,4113510600
201907,46539,29,2089,3**,답,보전녹지지역,-,547.0000,14890.0000,,-,-,,경기도 성남시분당구 금곡동,4113511100
201906,43423,21,2087,4*,전,보전녹지지역,8m미만,1.0000,200.0000,,-,-,,경기도 성남시분당구 이매동,4113510600
201906,43430,19,2089,2*,답,보전녹지지역,8m미만,91.0000,15300.0000,,-,-,,경기도 성남시분당구 금곡동,4113511100
