계약년월,번호,계약일,시군구일련번호,지번,유형,도로명,용도지역,건축물주용도,도로조건,전용면적,대지면적,거래금액,층,지분구분,건축년도,해제사유발생일,거래유형,시군구명,법정동코드
202205,1497,10,2088,1**,집합,판교로,근린상업,공장,25m이상,150.3100,92.8500,52100.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202206,1336,29,2088,1**,집합,판교로,근린상업,창고시설,25m이상,77.3500,50.5000,16500.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202206,1337,17,2089,1**,집합,성남대로172번길,중심상업,자동차 관련시설,25m미만,38.7400,6.1500,1000.0000,2,지분,,-,중개거래,경기도 성남시분당구 금곡동,4113511100
202207,975,20,15777,5*,일반,석운로204번길,자연녹지,창고시설,8m미만,26.2500,440.0000,59500.0000,,,1926,-,중개거래,경기도 성남시분당구 석운동,4113511700
202208,935,26,2088,1**,집합,판교로,근린상업,공장,25m이상,301.8200,197.4400,119007.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202208,936,11,2088,1**,집합,판교로,근린상업,공장,25m이상,150.9100,92.5600,40000.0000,,,1994,-,직거래,경기도 성남시분당구 야탑동,4113510700
202211,709,22,2088,1**,집합,판교로,근린상업,공장,25m이상,301.8200,185.2800,103000.0000,7,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202211,710,29,2088,1**,집합,판교로,근린상업,창고시설,25m이상,77.3500,50.5000,16725.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202211,711,07,2088,1**,집합,판교로,근린상업,창고시설,25m이상,77.3500,50.6000,16855.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202212,753,14,2089,1**,일반,대왕판교로,보전녹지,자동차 관련시설,8m미만,840.0000,2165.0000,1250000.0000,,,2022,-,중개거래,경기도 성남시분당구 금곡동,4113511100
202302,856,07,2088,1**,집합,판교로,근린상업,공장,25m이상,298.2000,182.8400,120000.0000,1,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202305,942,19,2088,1**,집합,판교로,근린상업,공장,25m이상,148.6000,97.2200,55000.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202305,943,23,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,92.0900,50500.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202305,944,04,2090,1**,집합,성남대로43번길,일반상업,창고시설,25m이상,28.3800,5.3700,10105.0000,,지분,,-,중개거래,경기도 성남시분당구 구미동,4113511400
202306,1003,14,2089,1**,집합,성남대로172번길,중심상업,자동차 관련시설,25m미만,37.3900,5.9400,1000.0000,,지분,,-,중개거래,경기도 성남시분당구 금곡동,4113511100
202307,981,05,2086,2**,집합,서현로180번길,중심상업,자동차 관련시설,25m미만,2167.8500,10.6200,2000.0000,,,,-,직거래,경기도 성남시분당구 서현동,4113510500
202307,982,05,2086,2**,집합,서현로180번길,중심상업,자동차 관련시설,25m미만,2167.8500,32.7400,5000.0000,,,,-,직거래,경기도 성남시분당구 서현동,4113510500
202307,983,18,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,97.5400,54000.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202307,984,27,2088,1**,집합,판교로,근린상업,공장,25m이상,147.6100,96.3200,54000.0000,5,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202307,985,28,2088,1**,집합,판교로,근린상업,창고시설,25m이상,54.9500,35.6700,7300.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202307,986,18,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,97.5400,54000.0000,2,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202309,894,20,2088,1**,집합,판교로,근린상업,창고시설,25m이상,54.9500,35.6700,9200.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202310,819,06,2088,1**,집합,판교로,근린상업,공장,25m이상,301.8200,196.0600,105000.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202310,820,12,2088,1**,집합,판교로,근린상업,공장,25m이상,301.8200,185.2700,102000.0000,5,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202310,821,25,2088,1**,집합,판교로,근린상업,공장,25m이상,150.9100,98.4800,59500.0000,1,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202311,991,27,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,92.1200,51650.0000,,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202311,992,27,2088,1**,집합,판교로,근린상업,공장,25m이상,149.1000,92.1200,51650.0000,2,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202312,839,29,2086,2**,집합,황새울로311번길,중심상업,자동차 관련시설,25m미만,51.3100,7.4700,1500.0000,,지분,1997,-,직거래,경기도 성남시분당구 서현동,4113510500
202312,840,26,2088,1**,집합,판교로,근린상업,공장,25m이상,301.8200,197.4400,146000.0000,1,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202312,841,26,2088,1**,집합,판교로,기타,공장,25m이상,301.8200,193.3800,146000.0000,1,,,-,중개거래,경기도 성남시분당구 야탑동,4113510700
202401,980,08,2086,256,집합,서현로180번길,중심상업,자동차 관련시설,25m미만,2167.8500,12.0500,3000.0000,,지분,1999,-,중개거래,경기도 성남시분당구 서현동,4113510500
