계약년월,번호,계약일,시군구일련번호,지번,유형,도로명,용도지역,건축물주용도,도로조건,전용면적,대지면적,거래금액,층,지분구분,건축년도,해제사유발생일,거래유형,시군구명,법정동코드
201708,7133,10,2085,1**,일반,불정로,제3종일반주거,제1종근린생활,25m이상,37.0000,39.0000,12900.0000,,,1994,-,,경기도 성남시분당구 정자동,4113510300
201708,7134,24,2085,*,집합,정자일로,중심상업,업무,25m이상,92.0000,0.0000,45000.0000,,,2004,-,,경기도 성남시분당구 정자동,4113510300
201708,7135,08,2085,1**,집합,불정로,제3종일반주거,제1종근린생활,25m이상,10.0000,0.0000,500.0000,,,1995,-,,경기도 성남시분당구 정자동,4113510300
201708,7136,08,2085,1**,집합,불정로,제3종일반주거,제1종근린생활,25m이상,31.0000,0.0000,12000.0000,,,1994,-,,경기도 성남시분당구 정자동,4113510300
201708,7137,28,2085,2*,집합,성남대로343번길,중심상업,업무,25m미만,190.0000,0.0000,115101.0000,6,,2005,-,,경기도 성남시분당구 정자동,4113510300
201708,7138,28,2085,2*,집합,성남대로343번길,중심상업,업무,25m미만,235.0000,0.0000,141856.0000,6,,2005,-,,경기도 성남시분당구 정자동,4113510300
201708,7139,08,2085,1**,집합,정자일로,중심상업,판매,25m이상,59.0000,0.0000,29000.0000,,,2007,-,,경기도 성남시분당구 정자동,4113510300
201708,7140,16,2085,1*,집합,성남대로,중심상업,제1종근린생활,25m이상,54.0000,0.0000,21500.0000,,지분,2004,-,,경기도 성남시분당구 정자동,4113510300
201708,7141,04,2085,2**,집합,불정로,제2종일반주거,기타,12m미만,28.0000,0.0000,23400.0000,,,2005,-,,경기도 성남시분당구 정자동,4113510300
201708,7142,04,2085,1**,집합,정자일로,중심상업,판매,25m이상,73.0000,0.0000,27500.0000,,,2007,-,,경기도 성남시분당구 정자동,4113510300
201708,7143,08,2085,1**,집합,불정로,제3종일반주거,제1종근린생활,25m이상,10.0000,0.0000,500.0000,,,1995,-,,경기도 성남시분당구 정자동,4113510300
201708,7144,31,2086,2**,집합,성남대로,중심상업,업무,25m미만,1547.0000,0.0000,770620.0000,16,,2014,-,,경기도 성남시분당구 서현동,4113510500
201708,7145,31,2086,2**,집합,성남대로,중심상업,업무,25m미만,1547.0000,0.0000,770620.0000,15,,2014,-,,경기도 성남시분당구 서현동,4113510500
201708,7146,31,2086,2**,집합,성남대로,중심상업,업무,25m미만,1494.0000,0.0000,743992.0000,19,,2014,-,,경기도 성남시분당구 서현동,4113510500
201708,7147,07,2086,2**,집합,황새울로360번길,중심상업,기타,25m미만,60.0000,0.0000,14000.0000,,,1993,-,,경기도 성남시분당구 서현동,4113510500
201708,7148,18,2086,9*,집합,중앙공원로,제3종일반주거,제1종근린생활,25m이상,20.0000,0.0000,18000.0000,1,,1991,-,,경기도 성남시분당구 서현동,4113510500
201708,7149,11,2086,2**,집합,황새울로319번길,중심상업,업무,25m미만,18.0000,0.0000,10979.0000,,,2004,-,,경기도 성남시분당구 서현동,4113510500
201708,7150,25,2086,2**,집합,황새울로360번길,중심상업,제2종근린생활,25m미만,62.0000,0.0000,11500.0000,,,2004,-,,경기도 성남시분당구 서현동,4113510500
201708,7151,14,2086,2**,집합,분당로53번길,중심상업,제2종근린생활,25m미만,44.0000,0.0000,28100.0000,,,1995,-,,경기도 성남시분당구 서현동,4113510500
201708,7152,21,2086,2**,집합,황새울로319번길,중심상업,업무,25m미만,18.0000,0.0000,11397.0000,6,,2004,-,,경기도 성남시분당구 서현동,4113510500
201708,7153,17,2086,2**,집합,황새울로312번길,중심상업,제1종근린생활,25m미만,94.0000,0.0000,34950.0000,,,1994,-,,경기도 성남시분당구 서현동,4113510500
201708,7154,31,2086,2**,집합,성남대로,중심상업,업무,25m미만,1547.0000,0.0000,770620.0000,10,,2014,-,,경기도 성남시분당구 서현동,4113510500
201708,7155,08,2086,9*,집합,돌마로,근린상업,제1종근린생활,25m이상,34.0000,0.0000,59900.0000,1,,1995,-,,경기도 성남시분당구 서현동,4113510500
201708,7156,10,2086,3**,집합,불정로376번길,준주거,교육연구,25m미만,29.0000,0.0000,9500.0000,2,,1994,-,,경기도 성남시분당구 서현동,4113510500
201708,7157,07,2086,2**,집합,황새울로360번길,중심상업,기타,25m미만,11.0000,0.0000,2000.0000,,,1993,-,,경기도 성남시분당구 서현동,4113510500
201708,7158,31,2086,2**,집합,성남대로,중심상업,업무,25m미만,1547.0000,0.0000,770620.0000,14,,2014,-,,경기도 성남시분당구 서현동,4113510500
201708,7159,31,2086,2**,집합,성남대로,중심상업,업무,25m미만,1494.0000,0.0000,743992.0000,20,,2014,-,,경기도 성남시분당구 서현동,4113510500
201708,7160,31,2086,2**,집합,성남대로,중심상업,업무,25m미만,1547.0000,0.0000,770620.0000,12,,2014,-,,경기도 성남시분당구 서현동,4113510500
201708,7161,31,2086,2**,집합,성남대로,중심상업,업무,25m미만,1547.0000,0.0000,770620.0000,17,,2014,-,,경기도 성남시분당구 서현동,4113510500
201708,7162,31,2086,2**,집합,성남대로,중심상업,업무,25m미만,1440.0000,0.0000,717364.0000,18,,2014,-,,경기도 성남시분당구 서현동,4113510500
201708,7163,08,2086,2**,집합,황새울로360번길,중심상업,판매,25m미만,17.0000,0.0000,13850.0000,,,1996,-,,경기도 성남시분당구 서현동,4113510500
201708,7164,09,2086,2**,집합,서현로,중심상업,제2종근린생활,25m이상,99.0000,0.0000,79000.0000,2,지분,2004,-,,경기도 성남시분당구 서현동,4113510500
201708,7165,25,2086,9*,집합,돌마로,근린상업,교육연구,25m이상,109.0000,0.0000,52700.0000,4,,1995,-,,경기도 성남시분당구 서현동,4113510500
201708,7166,31,2086,2**,집합,성남대로,중심상업,업무,25m미만,1547.0000,0.0000,770620.0000,9,,2014,-,,경기도 성남시분당구 서현동,4113510500
201708,7167,07,2086,2**,집합,황새울로319번길,중심상업,제2종근린생활,25m미만,18.0000,0.0000,11815.0000,,,2004,-,,경기도 성남시분당구 서현동,4113510500
