관리_건축물대장_PK,대지_면적,연면적,주_용도_코드_명,기타_용도,대지_위치,도로명_대지_위치,시군구명,번지
10891123539,1180.0,1606.87,교육연구시설,교육연구시설(유치원),경기도 성남시 분당구 야탑동 300번지,경기도 성남시 분당구 벌말로39번길 15-6 (야탑동),경기도 성남시 분당구 야탑동,3**
10891123540,1805.0,1995.65,단독주택,단독주택(다가구주택),경기도 성남시 분당구 이매동 75-2번지,경기도 성남시 분당구 방아로16번길 6 (이매동),경기도 성남시 분당구 이매동,7*
10891123541,11500.0,10141.76,교육연구시설,교육연구시설(미금초등학교),경기도 성남시 분당구 구미동 68번지,경기도 성남시 분당구 미금로 151 (구미동),경기도 성남시 분당구 구미동,6*
10891123542,2007.0,11431.13,제1종근린생활시설,"제1종근린생활시설,제2종근린생활시설,교육연구시설",경기도 성남시 분당구 수내동 7-5번지,경기도 성남시 분당구 황새울로258번길 32 (수내동),경기도 성남시 분당구 수내동,*
10891123543,211.3,421.2,단독주택,다가구주택(3가구),경기도 성남시 분당구 정자동 33-11번지,경기도 성남시 분당구 내정로129번길 31-6 (정자동),경기도 성남시 분당구 정자동,3*
10891123544,195.0,389.43,단독주택,다가구용단독주택,경기도 성남시 분당구 정자동 233-12번지,경기도 성남시 분당구 불곡남로33번길 7 (정자동),경기도 성남시 분당구 정자동,2**
10891123545,230.7,458.76,단독주택,다가구주택 및 근린생활시설,경기도 성남시 분당구 정자동 58-5번지,경기도 성남시 분당구 느티로77번길 18-7 (정자동),경기도 성남시 분당구 정자동,5*
10891123546,650.3,1562.73,제1종근린생활시설,제1종근린생활시설,경기도 성남시 분당구 구미동 274-1번지,경기도 성남시 분당구 구미로 186 (구미동),경기도 성남시 분당구 구미동,2**
10891123547,966.6,4766.13,제1종근린생활시설,근린생활시설,경기도 성남시 분당구 구미동 145-1번지,경기도 성남시 분당구 미금일로 85 (구미동),경기도 성남시 분당구 구미동,1**
10891123548,264.0,304.46,제1종근린생활시설,제1종근린생활시설,경기도 성남시 분당구 동원동 79-1번지,경기도 성남시 분당구 고기로 25 (동원동),경기도 성남시 분당구 동원동,7*
10891123549,801.0,833.8,공동주택,공동주택(다세대주택),경기도 성남시 분당구 이매동 10-17번지,경기도 성남시 분당구 방아로29번길 9 (이매동),경기도 성남시 분당구 이매동,1*
10891123550,548.0,2470.7,제1종근린생활시설,근린생활시설.교육연구시설,경기도 성남시 분당구 구미동 205-3번지,경기도 성남시 분당구 미금로 44 (구미동),경기도 성남시 분당구 구미동,2**
10891123551,228.4,429.09,제1종근린생활시설,주택및근린생활시설,경기도 성남시 분당구 구미동 142-4번지,경기도 성남시 분당구 금곡로23번길 19 (구미동),경기도 성남시 분당구 구미동,1**
10891123552,533.2,2573.0,제2종근린생활시설,근린생활시설,경기도 성남시 분당구 야탑동 382-4번지,경기도 성남시 분당구 매화로 49 (야탑동),경기도 성남시 분당구 야탑동,3**
10891123553,226.0,445.65,단독주택,다가구주택 및 근린생활시설,경기도 성남시 분당구 야탑동 310-9번지,경기도 성남시 분당구 야탑로161번길 8-3 (야탑동),경기도 성남시 분당구 야탑동,3**
10891123554,458.0,274.29,단독주택,단독주택,경기도 성남시 분당구 구미동 255-2번지,경기도 성남시 분당구 구미로144번길 80-3 (구미동),경기도 성남시 분당구 구미동,2**
10891123555,225.2,421.67,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 구미동 45-4번지,경기도 성남시 분당구 미금일로74번길 23 (구미동),경기도 성남시 분당구 구미동,4*
10891123556,371.1,936.08,제2종근린생활시설,"제1종근린생활시설, 제2종근린생활시설",경기도 성남시 분당구 야탑동 149-4번지,경기도 성남시 분당구 판교로711번길 10 (야탑동),경기도 성남시 분당구 야탑동,1**
10891123557,229.2,448.96,단독주택,다가구주택및근린생활시설,경기도 성남시 분당구 야탑동 294-7번지,경기도 성남시 분당구 매화로48번길 12-6 (야탑동),경기도 성남시 분당구 야탑동,2**
10891123558,184.5,347.29,단독주택,다가구주택(7가구),경기도 성남시 분당구 분당동 168-7번지,경기도 성남시 분당구 분당로311번길 6-12 (분당동),경기도 성남시 분당구 분당동,1**
10891123559,217.1,424.89,단독주택,다가구용단독주택,경기도 성남시 분당구 분당동 152-11번지,경기도 성남시 분당구 장안로4번길 33 (분당동),경기도 성남시 분당구 분당동,1**
10891123560,22007.9,119399.3,업무시설,"업무시설, 공공용시설, 근린생활시설",경기도 성남시 분당구 구미동 18번지,경기도 성남시 분당구 탄천상로 164 (구미동),경기도 성남시 분당구 구미동,1*
