"계약년월","번호","주택유형","시군구명","번지","도로명","대지면적","연면적","거래금액","건축물대장_PK","건물_도로명_주소","건물_대지_주소","건물_주용도","건물_기타용도","건물_대지면적","건물_연면적","번지매핑건수","도로매핑건수","용도매핑건수","면적매핑건수","매매별일련번호"
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891123685",경기도 성남시 분당구 장미로140번길 3-6 (야탑동),경기도 성남시 분당구 야탑동 283-2번지,단독주택,다가구용단독주택(3가구),231.8,452.99,391,16,16,16,10
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891123034",경기도 성남시 분당구 장미로140번길 3-8 (야탑동),경기도 성남시 분당구 야탑동 283-3번지,단독주택,근린생활시설및다가구주택(3),184.6,366.0,391,16,16,16,11
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891122842",경기도 성남시 분당구 장미로140번길 11-5 (야탑동),경기도 성남시 분당구 야탑동 284-9번지,단독주택,근린생활및주택,231.5,453.08,391,16,16,16,12
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891122430",경기도 성남시 분당구 장미로140번길 3-12 (야탑동),경기도 성남시 분당구 야탑동 283-5번지,단독주택,다가구주택및근린생활시설,232.7,454.84,391,16,16,16,13
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891122089",경기도 성남시 분당구 장미로140번길 3-4 (야탑동),경기도 성남시 분당구 야탑동 283-1번지,단독주택,다가구주택및근린생활시설,231.0,418.05,391,16,16,16,14
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891121728",경기도 성남시 분당구 장미로140번길 11 (야탑동),경기도 성남시 분당구 야탑동 284-10번지,단독주택,다가구주택(10가구),231.1,461.68,391,16,16,16,15
"201703",5399,다가구,경기도 성남시 분당구 야탑동,"2**",장미로140번길,232.0000,421.0000,106500.0000,"10891121684",경기도 성남시 분당구 장미로140번길 3-7 (야탑동),경기도 성남시 분당구 야탑동 280-3번지,단독주택,단독주택(16가구),288.1,560.88,391,16,16,16,16
"201703",5400,단독,경기도 성남시 분당구 야탑동,"2**",장미로122번길,229.0000,442.0000,128000.0000,"10891124260",경기도 성남시 분당구 장미로122번길 3-16 (야탑동),경기도 성남시 분당구 야탑동 287-6번지,단독주택,다가구주택및근린생활시설,229.4,441.8,391,27,26,1,1
"201703",5401,단독,경기도 성남시 분당구 구미동,"1**",금곡로23번길,320.0000,606.0000,151500.0000,"10891122211",경기도 성남시 분당구 금곡로23번길 3-1 (구미동),경기도 성남시 분당구 구미동 124-3번지,단독주택,근린생활시설및주택,319.6,606.04,281,37,35,1,1
"201703",5402,단독,경기도 성남시 분당구 운중동,"3**","",238.0000,46.0000,78400.0000,"10891100182452",경기도 성남시 분당구 하오개로357번길 4 (운중동),경기도 성남시 분당구 운중동 349-8번지,단독주택,단독주택,381.0,304.68,123,123,13,13,1
