계약년월,거래구분,번호,계약일,시군구일련번호,번지,주택유형,도로조건,연면적_x,대지면적,거래금액,월세,건축년도,도로명,해제사유발생일,거래유형,시군구명,법정동코드,실거래ID,관리_건축물대장_PK,대지_면적,연면적_y,주_용도_코드_명,기타_용도,대지_위치,도로명_대지_위치
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100245536,231.2,227.24,단독주택,다가구주택(2가구),경기도 성남시 분당구 운중동 982-10번지,경기도 성남시 분당구 산운로159번길 3-3 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100245583,264.0,194.78,단독주택,다가구주택(2가구),경기도 성남시 분당구 운중동 997-8번지,경기도 성남시 분당구 산운로208번길 37-1 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100245663,265.2,287.77,단독주택,단독주택,경기도 성남시 분당구 운중동 999-7번지,경기도 성남시 분당구 산운로170번길 11 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100247187,264.0,432.96,단독주택,단독주택(다가구주택(3가구)),경기도 성남시 분당구 운중동 969-6번지,경기도 성남시 분당구 산운로160번길 16-4 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233349,441.9,352.5,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-10번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100248323,232.1,297.11,단독주택,단독주택,경기도 성남시 분당구 운중동 986-6번지,경기도 성남시 분당구 산운로139번길 14 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100235583,263.9,283.04,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 997-3번지,경기도 성남시 분당구 산운로170번길 4-12 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100235967,231.1,295.27,단독주택,단독주택,경기도 성남시 분당구 운중동 986-7번지,경기도 성남시 분당구 산운로139번길 16 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100239146,460.7,329.37,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 986-11번지,경기도 성남시 분당구 산운로139번길 22 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100240466,264.8,450.84,단독주택,단독주택,경기도 성남시 분당구 운중동 973-3번지,경기도 성남시 분당구 산운로 146 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100241145,247.7,279.43,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 986번지,경기도 성남시 분당구 산운로139번길 4-1 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233348,428.9,352.77,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-9번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100233344,429.6,462.53,단독주택,단독주택(1가구),경기도 성남시 분당구 운중동 994-8번지,경기도 성남시 분당구 산운로 199 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100226462,263.6,391.56,단독주택,"단독주택(다가구주택),제1종근린생활시설",경기도 성남시 분당구 운중동 970-6번지,경기도 성남시 분당구 산운로160번길 20-4 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100226763,264.2,382.38,단독주택,"단독주택(다가구주택),제2종근린생활시설",경기도 성남시 분당구 운중동 971-3번지,경기도 성남시 분당구 산운로 158 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100227682,228.7,200.92,단독주택,단독주택,경기도 성남시 분당구 운중동 984-9번지,경기도 성남시 분당구 산운로159번길 7-1 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100227844,231.4,296.3,단독주택,단독주택,경기도 성남시 분당구 운중동 986-9번지,경기도 성남시 분당구 산운로139번길 18-1 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100227845,264.1,415.44,단독주택,"단독주택(다가구주택),제2종근린생활시설",경기도 성남시 분당구 운중동 969-1번지,경기도 성남시 분당구 산운로160번길 4 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100228417,264.1,386.46,단독주택,"단독주택(다가구주택),제1종근린생활시설",경기도 성남시 분당구 운중동 969-3번지,경기도 성남시 분당구 산운로160번길 10 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100226823,224.5,253.86,단독주택,단독주택(다가구주택),경기도 성남시 분당구 운중동 982-3번지,경기도 성남시 분당구 산운로139번길 4-6 (운중동)
202501,1,470,22,18986,9**,단독,8m미만,397.6000,330.0000,560000.0000,0.0000,2012,산운로,-,중개거래,경기도 성남시 분당구 운중동,4113511500,40724,10891100224046,231.3,317.75,단독주택,단독주택,경기도 성남시 분당구 운중동 985-3번지,경기도 성남시 분당구 산운로151번길 7-6 (운중동)
